,sno,return_time,country,size,size2,size3,size4,Occasion
148,148,10 Days Return Policy?,India,S,M,L,XL,
149,149,None,India,S,M,L,XL,
150,150,None,India,S,M,L,XL,
151,151,10 Days Return Policy?,India,S,M,L,XL,
152,152,10 Days Return Policy?,India,S,M,L,XL,
153,153,10 Days Return Policy?,India,S,M,L,XL,
154,154,None,India,S,M,L,XL,
155,155,10 Days Return Policy?,India,S,M,L,XL,
156,156,10 Days Return Policy?,India,S,M,L,XL,
157,157,10 Days Return Policy?,India,S,M,L,XL,
158,158,10 Days Return Policy?,India,S,M,L,XL,
159,159,10 Days Return Policy?,India,S,M,L,XL,
160,160,10 days return policy?,India,S,M,L,XL,
161,161,10 days return policy?,India,S,M,L,XL,
162,162,10 Days Return Policy?,India,S,M,L,XL,
163,163,None,India,S,M,L,XL,
164,164,10 Days Return Policy?,India,S,M,L,XL,
165,165,None,India,S,M,L,XL,
166,166,10 days return policy?,India,S,M,L,XL,
167,167,None,India,S,M,L,XL,
168,168,None,India,S,M,L,XL,
169,169,None,India,S,M,L,XL,
170,170,None,India,S,M,L,XL,
171,171,10 Days Return Policy?,India,S,M,L,XL,
172,172,None,India,S,M,L,XL,
173,173,None,India,S,M,L,XL,
174,174,None,India,S,M,L,XL,
175,175,None,India,S,M,L,XL,
176,176,None,India,S,M,L,XL,
177,177,None,India,S,M,L,XL,
178,178,None,India,S,M,L,XL,
179,179,None,India,S,M,L,XL,
180,180,None,India,S,M,L,XL,
181,181,None,India,S,M,L,XL,
182,182,None,India,S,M,L,XL,
183,183,None,India,S,M,L,XL,
184,184,None,India,S,M,L,XL,
185,185,10 Days Return Policy?,India,S,M,L,XL,
186,186,None,India,S,M,L,XL,
187,187,10 Days Return Policy?,India,S,M,L,XL,
188,188,10 Days Return Policy?,India,S,M,L,XL,
189,189,None,India,S,M,L,XL,
190,190,None,India,S,M,L,XL,
191,191,10 Days Return Policy?,India,S,M,L,XL,
192,192,10 Days Return Policy?,India,S,M,L,XL,
193,193,10 Days Return Policy?,India,S,M,L,XL,
194,194,None,India,S,M,L,XL,
195,195,10 Days Return Policy?,India,S,M,L,XL,
196,196,10 Days Return Policy?,India,S,M,L,XL,
197,197,10 Days Return Policy?,India,S,M,L,XL,
198,198,10 Days Return Policy?,India,S,M,L,XL,
199,199,10 Days Return Policy?,India,S,M,L,XL,
200,200,10 days return policy?,India,S,M,L,XL,
201,201,10 days return policy?,India,S,M,L,XL,
202,202,10 Days Return Policy?,India,S,M,L,XL,
203,203,None,India,S,M,L,XL,
204,204,10 Days Return Policy?,India,S,M,L,XL,
205,205,None,India,S,M,L,XL,
206,206,10 days return policy?,India,S,M,L,XL,
207,207,None,India,S,M,L,XL,
208,208,None,India,S,M,L,XL,
209,209,None,India,S,M,L,XL,
210,210,None,India,S,M,L,XL,
211,211,10 Days Return Policy?,India,S,M,L,XL,
212,212,None,India,S,M,L,XL,
213,213,None,India,S,M,L,XL,
214,214,None,India,S,M,L,XL,
215,215,None,India,S,M,L,XL,
216,216,None,India,S,M,L,XL,
217,217,None,India,S,M,L,XL,
218,218,None,India,S,M,L,XL,
219,219,None,India,S,M,L,XL,
220,220,None,India,S,M,L,XL,
221,221,None,India,S,M,L,XL,
222,222,None,India,S,M,L,XL,
223,223,None,India,S,M,L,XL,
224,224,None,India,S,M,L,XL,
225,225,10 Days Return Policy?,India,S,M,L,XL,
226,226,None,India,S,M,L,XL,
227,227,10 Days Return Policy?,India,S,M,L,XL,
228,228,10 Days Return Policy?,India,S,M,L,XL,
229,229,None,India,S,M,L,XL,
230,230,None,India,S,M,L,XL,
231,231,10 Days Return Policy?,India,S,M,L,XL,
232,232,10 Days Return Policy?,India,S,M,L,XL,
233,233,10 Days Return Policy?,India,S,M,L,XL,
234,234,None,India,S,M,L,XL,
235,235,10 Days Return Policy?,India,S,M,L,XL,
236,236,10 Days Return Policy?,India,S,M,L,XL,
237,237,10 Days Return Policy?,India,S,M,L,XL,
238,238,10 Days Return Policy?,India,S,M,L,XL,
239,239,10 Days Return Policy?,India,S,M,L,XL,
240,240,10 days return policy?,India,S,M,L,XL,
241,241,10 days return policy?,India,S,M,L,XL,
242,242,10 Days Return Policy?,India,S,M,L,XL,
243,243,None,India,S,M,L,XL,
244,244,10 Days Return Policy?,India,S,M,L,XL,
245,245,None,India,S,M,L,XL,
246,246,10 days return policy?,India,S,M,L,XL,
247,247,None,India,S,M,L,XL,
248,248,None,India,S,M,L,XL,
249,249,None,India,S,M,L,XL,
250,250,None,India,S,M,L,XL,
251,251,10 Days Return Policy?,India,S,M,L,XL,
252,252,None,India,S,M,L,XL,
253,253,None,India,S,M,L,XL,
254,254,None,India,S,M,L,XL,
255,255,None,India,S,M,L,XL,
256,256,None,India,S,M,L,XL,
257,257,None,India,S,M,L,XL,
258,258,None,India,S,M,L,XL,
259,259,None,India,S,M,L,XL,
260,260,None,India,S,M,L,XL,
261,261,None,India,S,M,L,XL,
262,262,None,India,S,M,L,XL,
263,263,None,India,S,M,L,XL,
264,264,None,India,S,M,L,XL,
265,265,10 Days Return Policy?,India,S,M,L,XL,
266,266,None,India,S,M,L,XL,
267,267,10 Days Return Policy?,India,S,M,L,XL,
268,268,10 Days Return Policy?,India,S,M,L,XL,
269,269,None,India,S,M,L,XL,
270,270,None,India,S,M,L,XL,
271,271,10 Days Return Policy?,India,S,M,L,XL,
272,272,10 Days Return Policy?,India,S,M,L,XL,
273,273,10 Days Return Policy?,India,S,M,L,XL,
274,274,None,India,S,M,L,XL,
275,275,10 Days Return Policy?,India,S,M,L,XL,
276,276,10 Days Return Policy?,India,S,M,L,XL,
277,277,10 Days Return Policy?,India,S,M,L,XL,
278,278,10 Days Return Policy?,India,S,M,L,XL,
279,279,10 Days Return Policy?,India,S,M,L,XL,
280,280,10 days return policy?,India,S,M,L,XL,
281,281,10 days return policy?,India,S,M,L,XL,
282,282,10 Days Return Policy?,India,S,M,L,XL,
283,283,None,India,S,M,L,XL,
284,284,10 Days Return Policy?,India,S,M,L,XL,
285,285,None,India,S,M,L,XL,
286,286,10 days return policy?,India,S,M,L,XL,
287,287,None,India,S,M,L,XL,
288,288,None,India,S,M,L,XL,
289,289,None,India,S,M,L,XL,
290,290,None,India,S,M,L,XL,
291,291,10 Days Return Policy?,India,S,M,L,XL,
292,292,None,India,S,M,L,XL,
293,293,None,India,S,M,L,XL,
294,294,None,India,S,M,L,XL,
295,295,None,India,S,M,L,XL,
296,296,None,India,S,M,L,XL,
297,297,None,India,S,M,L,XL,
