,sno,Brand_name,Category,Product_type,Product_name,Price,Product_code
3550,3550,Indi Hemp,"Men Regular, Slim, Tailored Fit Solid Button Down Colla...","Men Regular, Slim, Tailored Fit Solid Button Down Colla...","Men Regular, Slim, Tailored Fit Solid Button Down Colla...",₹499,
3551,3551,VALKO FASHION,Men Slim Fit Solid Cut Away Collar Casual Shirt,Men Slim Fit Solid Cut Away Collar Casual Shirt,Men Slim Fit Solid Cut Away Collar Casual Shirt,₹299,
3552,3552,Indi Hemp,Men Full Sleeve Solid Hooded Sweatshirt,Men Full Sleeve Solid Hooded Sweatshirt,Men Full Sleeve Solid Hooded Sweatshirt,₹499,
3553,3553,Indi Hemp,Men Full Sleeve Solid Hooded Sweatshirt,Men Full Sleeve Solid Hooded Sweatshirt,Men Full Sleeve Solid Hooded Sweatshirt,₹499,
3554,3554,Indi Hemp,Men Regular Fit Printed Spread Collar Casual Shirt,Men Regular Fit Printed Spread Collar Casual Shirt,Men Regular Fit Printed Spread Collar Casual Shirt,₹499,
3555,3555,Indi Hemp,Unstitched Polycotton Shirt Fabric Printed,Unstitched Polycotton Shirt Fabric Printed,Unstitched Polycotton Shirt Fabric Printed,₹499,
3556,3556,Indi Hemp,Men Full Sleeve Solid Hooded Sweatshirt,Men Full Sleeve Solid Hooded Sweatshirt,Men Full Sleeve Solid Hooded Sweatshirt,₹994,
3557,3557,Indi Hemp,Men Full Sleeve Solid Hooded Sweatshirt,Men Full Sleeve Solid Hooded Sweatshirt,Men Full Sleeve Solid Hooded Sweatshirt,₹499,
3558,3558,Indi Hemp,Unstitched Polycotton Shirt Fabric Printed,Unstitched Polycotton Shirt Fabric Printed,Unstitched Polycotton Shirt Fabric Printed,₹499,
3559,3559,Indi Hemp,trendy stylish design Shirt for men look new cotton uni...,trendy stylish design Shirt for men look new cotton uni...,trendy stylish design Shirt for men look new cotton uni...,₹499,
3560,3560,Chanda Khuba,Men Full Sleeve Solid Hooded Sweatshirt,Men Full Sleeve Solid Hooded Sweatshirt,Men Full Sleeve Solid Hooded Sweatshirt,"₹1,490",
3561,3561,Chanda Khuba,Men Full Sleeve Solid Hooded Sweatshirt,Men Full Sleeve Solid Hooded Sweatshirt,Men Full Sleeve Solid Hooded Sweatshirt,"₹1,490",
3562,3562,Swear Clothes,Men Slim Fit Solid Cut Away Collar Casual Shirt,Men Slim Fit Solid Cut Away Collar Casual Shirt,Men Slim Fit Solid Cut Away Collar Casual Shirt,₹447,
3563,3563,VALKO FASHION,"Men Regular, Slim, Tailored Fit Solid Button Down Colla...","Men Regular, Slim, Tailored Fit Solid Button Down Colla...","Men Regular, Slim, Tailored Fit Solid Button Down Colla...",₹299,
3564,3564,PROTOCOL,"Men Regular, Slim, Tailored Fit Solid Button Down Colla...","Men Regular, Slim, Tailored Fit Solid Button Down Colla...","Men Regular, Slim, Tailored Fit Solid Button Down Colla...",₹299,
3565,3565,PROTOCOL,"Men Regular, Slim, Tailored Fit Printed Button Down Col...","Men Regular, Slim, Tailored Fit Printed Button Down Col...","Men Regular, Slim, Tailored Fit Printed Button Down Col...",₹319,
3566,3566,Chanda Khuba,Men Full Sleeve Solid Hooded Sweatshirt,Men Full Sleeve Solid Hooded Sweatshirt,Men Full Sleeve Solid Hooded Sweatshirt,"₹1,490",
3567,3567,Chanda Khuba,Men Regular Fit Solid Curved Collar Casual Shirt,Men Regular Fit Solid Curved Collar Casual Shirt,Men Regular Fit Solid Curved Collar Casual Shirt,"₹1,490",
3568,3568,VALKO FASHION,Men Regular Fit Printed Spread Collar Casual Shirt,Men Regular Fit Printed Spread Collar Casual Shirt,Men Regular Fit Printed Spread Collar Casual Shirt,₹319,
3569,3569,Indi Hemp,"Men Regular, Slim, Tailored Fit Solid Mandarin Collar C...","Men Regular, Slim, Tailored Fit Solid Mandarin Collar C...","Men Regular, Slim, Tailored Fit Solid Mandarin Collar C...",₹499,
3570,3570,Chanda Khuba,"Men Slim, Regular, Tailored Fit Solid Mandarin Collar C...","Men Slim, Regular, Tailored Fit Solid Mandarin Collar C...","Men Slim, Regular, Tailored Fit Solid Mandarin Collar C...","₹1,490",
3571,3571,Chanda Khuba,Men Slim Mid Rise Black Jeans,Men Slim Mid Rise Black Jeans,Men Slim Mid Rise Black Jeans,"₹1,490",
3572,3572,Indi Hemp,"Men Regular, Slim, Tailored Fit Solid Button Down Colla...","Men Regular, Slim, Tailored Fit Solid Button Down Colla...","Men Regular, Slim, Tailored Fit Solid Button Down Colla...",₹499,
3573,3573,Indi Hemp,Men Slim Fit Checkered Button Down Collar Casual Shirt,Men Slim Fit Checkered Button Down Collar Casual Shirt,Men Slim Fit Checkered Button Down Collar Casual Shirt,₹499,
3574,3574,Indi Hemp,Men Regular Fit Solid Casual Shirt,Men Regular Fit Solid Casual Shirt,Men Regular Fit Solid Casual Shirt,₹499,
3575,3575,Indi Hemp,"Men Regular, Slim, Tailored Fit Solid Cut Away Collar C...","Men Regular, Slim, Tailored Fit Solid Cut Away Collar C...","Men Regular, Slim, Tailored Fit Solid Cut Away Collar C...",₹499,
3576,3576,Chanda Khuba,"Men Regular, Slim, Tailored Fit Solid Button Down Colla...","Men Regular, Slim, Tailored Fit Solid Button Down Colla...","Men Regular, Slim, Tailored Fit Solid Button Down Colla...","₹1,490",
3577,3577,Force,Men Slim Mid Rise Black Jeans,Men Slim Mid Rise Black Jeans,Men Slim Mid Rise Black Jeans,₹439,
